path,format,num_count,note_num_count,status
README.md,,0,0,
by_format\CSV\all_raw.csv,CSV,0,1,CSV-header-note_num
by_format\CSV\daniel_raw.csv,CSV,0,1,CSV-header-note_num
by_format\CSV\martin_raw.csv,CSV,0,1,CSV-header-note_num
by_format\CSV\tim_raw.csv,CSV,0,1,CSV-header-note_num
by_format\CSV\will_raw.csv,CSV,0,1,CSV-header-note_num
by_format\CSV\zoe_raw.csv,CSV,0,1,CSV-header-note_num
by_format\JSON\all_raw.json,JSON,0,50173,JSON-keys-note_num
by_format\JSON\daniel_raw.json,JSON,0,8994,JSON-keys-note_num
by_format\JSON\martin_raw.json,JSON,0,16144,JSON-keys-note_num
by_format\JSON\tim_raw.json,JSON,0,11833,JSON-keys-note_num
by_format\JSON\will_raw.json,JSON,0,1770,JSON-keys-note_num
by_format\JSON\zoe_raw.json,JSON,0,11432,JSON-keys-note_num
by_format\XML\all_raw.xml,XML,0,50173,XML-notes-have-note_num
by_format\XML\daniel_raw.xml,XML,0,8994,XML-notes-have-note_num
by_format\XML\martin_raw.xml,XML,0,16144,XML-notes-have-note_num
by_format\XML\tim_raw.xml,XML,0,11833,XML-notes-have-note_num
by_format\XML\will_raw.xml,XML,0,1770,XML-notes-have-note_num
by_format\XML\zoe_raw.xml,XML,0,11432,XML-notes-have-note_num
reports\num_note_num_audit.csv,CSV,0,0,CSV-no-num-or-note_num
reports\raw_notes_report.csv,CSV,0,0,CSV-no-num-or-note_num
